time,trade_id,dir,limit_price,signal_price,created_ts,expired_ts,age_min,conf,mode,reason,research_lane,research_model,closest_price,missed_by_usd,min_price_since_order,max_price_since_order,touched_limit
2026-06-25T21:04:42.121620+00:00,scan-9c86f3b55597,SHORT,,59583.0,1782421482.121605,1782421482.121596,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-25T21:04:54.179109+00:00,c604c-9fbfb6bac00f,SHORT,,59520.0,1782421494.179085,1782421494.179077,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-25T21:05:12.874206+00:00,cont-977b507974a2,SHORT,59571.67,59541.0,1782421512.874187,1782421512.87418,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-25T21:05:13.059236+00:00,c604c-ba5d3dcba39e,SHORT,59576.43,59541.0,1782421513.059208,1782421513.059192,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-25T21:07:27.565877+00:00,scan-5b9ea6275554,SHORT,,59617.0,1782421647.565856,1782421647.565841,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-25T21:07:53.388827+00:00,c604c-c87ca76d0ca4,SHORT,,59558.0,1782421673.388806,1782421673.388799,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-25T21:10:28.568342+00:00,scan-133d2349845b,SHORT,,59476.0,1782421828.568325,1782421828.568315,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-25T21:14:11.614988+00:00,scan-6b8286585671,SHORT,,59542.0,1782422051.614972,1782422051.614964,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-25T21:14:30.104728+00:00,cont-972f40ac6ae5,SHORT,,59638.0,1782422070.104697,1782422070.104685,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-25T21:17:17.590781+00:00,scan-a5158bfde185,SHORT,,59524.0,1782422237.590774,1782422237.590769,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-25T21:18:35.409350+00:00,cont-f0d969b474f5,SHORT,59652.65,59627.0,1782422315.409322,1782422315.409312,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T02:24:50.909813+00:00,c604c-e31a09263c9b,SHORT,58492.5,58395.0,1782440690.909764,1782440690.909749,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T02:29:09.881791+00:00,c604c-1b9e23383721,SHORT,58855.5,58722.0,1782440949.881765,1782440949.881752,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T02:41:04.574237+00:00,cont-9132bc8f9d5b,SHORT,,58836.0,1782441664.574205,1782441664.574192,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T02:41:10.207854+00:00,c604c-e03f16a30de4,SHORT,,58832.0,1782441670.207819,1782441670.207809,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T02:54:21.054844+00:00,scan-da47d669208d,SHORT,,58402.0,1782442461.054825,1782442461.054805,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T02:57:47.683210+00:00,scan-3981de4f5eaa,SHORT,,58722.0,1782442667.683185,1782442667.683176,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T02:59:59.925857+00:00,cont-f5c6eab613a4,SHORT,,58578.0,1782442799.925826,1782442799.925816,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T03:03:58.150466+00:00,cont-6bc32e912ec8,SHORT,58500.0,58522.0,1782443038.15044,1782443038.150433,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T03:07:59.722111+00:00,scan-9e7a2b69d1fa,SHORT,,58793.0,1782443279.722065,1782443279.722052,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:11:11.466559+00:00,scan-c77f28355a68,SHORT,,58836.0,1782443471.466526,1782443471.46651,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:12:23.277459+00:00,cont-7821a287c74e,SHORT,58976.96,58926.0,1782443543.277433,1782443543.277423,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T03:14:03.759396+00:00,c604c-68676f7833c1,SHORT,58949.39,58939.0,1782443643.75937,1782443643.759363,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T03:19:54.714764+00:00,scan-a47801651a1a,SHORT,,58601.0,1782443994.714749,1782443994.714733,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:28:30.294811+00:00,scan-a6801c2ee653,SHORT,,58512.0,1782444510.294788,1782444510.294767,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:30:01.575187+00:00,scan-8e7bf66835f9,SHORT,,58578.0,1782444601.575169,1782444601.575154,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:38:17.949943+00:00,cont-f5fd5c9265a0,SHORT,59335.5,59293.0,1782445097.949917,1782445097.949908,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T03:41:30.123859+00:00,scan-bf7796b9ce92,SHORT,,58947.0,1782445290.123832,1782445290.123819,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:44:48.671436+00:00,cont-2f7c6fd6cb37,SHORT,59494.6,59491.0,1782445488.67141,1782445488.6714,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T03:47:47.731372+00:00,scan-bdee4a7d018d,SHORT,,58877.0,1782445667.731349,1782445667.731336,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T03:53:57.710674+00:00,scan-e93f3eb65021,SHORT,,58833.0,1782446037.710647,1782446037.710632,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T04:06:39.838857+00:00,scan-f31f5798f714,SHORT,,59294.0,1782446799.838833,1782446799.838823,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T04:11:20.837128+00:00,scan-a2a378a77d9d,SHORT,,59470.0,1782447080.837106,1782447080.837092,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T07:02:14.160332+00:00,cont-adc04e5f4e55,SHORT,,60365.0,1782457334.1603,1782457334.160289,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T07:02:23.170120+00:00,c604c-aec81451c8be,SHORT,,60377.0,1782457343.170086,1782457343.170075,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T07:05:16.298666+00:00,cont-f50280b4f8f0,SHORT,,60353.0,1782457516.298637,1782457516.298627,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T07:05:22.704616+00:00,c604c-17971fe57cbb,SHORT,,60342.0,1782457522.70457,1782457522.704544,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
