reason,bot_version,ai_threshold,decision,features_ema9,edge_trigger_reason,exchange,features_delta,data_symbol,ts,effective_threshold,early_fail_enabled,features_price,skip_stage,edge_threshold,trade_id,ai_error,fee_profile,research_model,ai_decision_text,research_lane,ai_win_prob,experiment_tag,analyzer_sync_id,controls_edge,ai_source,ai_error_detail,edge_score,final_direction,invert_signal
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60923.029427,PERIODIC_RESEARCH_AI,bitfinex,-4.578025,tBTCF0:USTF0,2026-06-25T01:14:52.782287+00:00,3.0,True,60831.0,COMPLETE,3.0,c604c-414b856d4546,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.5,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60902.663541,PERIODIC_RESEARCH_AI,bitfinex,-3.484302,tBTCF0:USTF0,2026-06-25T01:17:58.964917+00:00,3.0,True,60846.0,AI,3.0,cont-ab1afb9c1f91,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.5,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60902.663541,PERIODIC_RESEARCH_AI,bitfinex,-3.484302,tBTCF0:USTF0,2026-06-25T01:18:01.330119+00:00,3.0,True,60846.0,COMPLETE,3.0,cont-ab1afb9c1f91,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.5,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60902.663541,PERIODIC_RESEARCH_AI,bitfinex,-3.484302,tBTCF0:USTF0,2026-06-25T01:18:01.402864+00:00,3.0,True,60846.0,AI,3.0,scan-9801bf8528bd,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.5,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60906.263541,PERIODIC_RESEARCH_AI,bitfinex,-3.675586,tBTCF0:USTF0,2026-06-25T01:20:58.771113+00:00,3.0,True,60832.0,AI,3.0,cont-88a5776de3eb,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.3,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60906.263541,PERIODIC_RESEARCH_AI,bitfinex,-3.675586,tBTCF0:USTF0,2026-06-25T01:21:00.611475+00:00,3.0,True,60832.0,COMPLETE,3.0,cont-88a5776de3eb,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,2.3,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60906.263541,PERIODIC_RESEARCH_AI,bitfinex,-3.675586,tBTCF0:USTF0,2026-06-25T01:21:00.656091+00:00,3.0,True,60832.0,AI,3.0,scan-94a23136f486,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.3,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60906.263541,PERIODIC_RESEARCH_AI,bitfinex,-3.675586,tBTCF0:USTF0,2026-06-25T01:21:00.802816+00:00,3.0,True,60832.0,AI,3.0,c604c-639c12a37fd9,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.3,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60906.263541,PERIODIC_RESEARCH_AI,bitfinex,-3.675586,tBTCF0:USTF0,2026-06-25T01:21:02.187361+00:00,3.0,True,60832.0,COMPLETE,3.0,c604c-639c12a37fd9,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,2.3,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60923.463541,PERIODIC_RESEARCH_AI,bitfinex,-3.695002,tBTCF0:USTF0,2026-06-25T01:24:08.732193+00:00,3.0,True,60968.0,AI,3.0,cont-e719aebec895,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,0.4,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60923.463541,PERIODIC_RESEARCH_AI,bitfinex,-3.695002,tBTCF0:USTF0,2026-06-25T01:24:10.578294+00:00,3.0,True,60968.0,COMPLETE,3.0,cont-e719aebec895,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,0.4,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,,PERIODIC_RESEARCH_AI,bitfinex,-3.489417,tBTCF0:USTF0,2026-06-25T01:24:10.629602+00:00,3.0,True,,AI,3.0,scan-bc7758f208a0,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,0.4,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60923.463541,PERIODIC_RESEARCH_AI,bitfinex,-3.621267,tBTCF0:USTF0,2026-06-25T01:24:10.755394+00:00,3.0,True,60966.0,AI,3.0,c604c-92f282211ce9,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,0.4,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60923.463541,PERIODIC_RESEARCH_AI,bitfinex,-3.621267,tBTCF0:USTF0,2026-06-25T01:24:12.465098+00:00,3.0,True,60966.0,COMPLETE,3.0,c604c-92f282211ce9,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,0.4,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60907.463541,PERIODIC_RESEARCH_AI,bitfinex,-3.55711,tBTCF0:USTF0,2026-06-25T01:27:38.122520+00:00,3.0,True,60914.0,AI,3.0,cont-f05695fb7f0a,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.7,,False
