ts,bull_score,bear_score,velocity,delta,volume_ratio,weaken_signals,trend_state,base_state,structure_score,mtf_agreement
2026-06-24T12:32:52.204086+00:00,4,6,6.368022559624867e-05,1.1512953400000387,0.22146220331151548,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:33:54.573134+00:00,4,6,4.7722066683634514e-05,1.1401074300000404,3.2116664409903595,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:34:34.414824+00:00,4,6,-1.7497913939427467e-05,1.1388528970000398,0.121215169957305,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:35:08.037218+00:00,4,6,0.0001590406666984748,1.1125616900000397,3.5544561803143933,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:39:04.169080+00:00,4,6,0.0,-0.001,1.0,0,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:39:35.082261+00:00,4,6,0.00019073959277096943,-0.14692,0.0463821892393321,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:40:05.300233+00:00,4,6,9.536676468250815e-05,-0.41684000000000004,0.03530740984841352,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:40:39.891797+00:00,4,6,1.2718296803687905e-05,-0.32066000000000006,0.03530740984841352,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:41:11.285993+00:00,4,6,1.5900526307420775e-05,-0.4204400000000001,0.05781148829895476,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:41:47.656909+00:00,4,6,-3.1795668093769404e-05,-0.5078520000000002,0.03199404761904762,1,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:42:18.456008+00:00,4,6,7.954183900731785e-05,-0.5155191000000002,0.1100657942499604,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:43:14.914623+00:00,4,6,4.4539330988265396e-05,-0.5147655700000001,0.16225668150298492,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:44:08.577768+00:00,4,6,4.135963067111163e-05,-0.5172564780000003,2.6387277636600426,1,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:44:39.443585+00:00,4,6,1.7493309901160543e-05,-0.49081902500000024,0.09991299644146177,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:45:10.633945+00:00,4,6,1.7493309901160543e-05,-0.49081902500000024,0.09991299644146177,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:46:37.932460+00:00,4,6,0.0,-0.001,1.0,0,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:47:07.984066+00:00,4,6,-0.00011137629276054097,0.07047578,0.03959931433787224,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:47:38.179546+00:00,4,6,0.00019097332739194094,0.05676881,1.3015342512173218,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:48:08.432621+00:00,4,6,0.00015911405295315683,0.05756881,0.05010271424823198,3,BEAR,BEAR,-3.0,CONFLICTED
