ts,bull_score,bear_score,velocity,delta,volume_ratio,weaken_signals,trend_state,base_state,structure_score,mtf_agreement
2026-06-24T12:12:18.893444+00:00,4,6,-3.814205876800106e-05,0.5322416690000391,0.6586640738135847,1,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:12:58.805998+00:00,4,6,1.5902293572415538e-05,0.579293800000038,9.706830936052802,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:13:31.897649+00:00,4,6,-4.448801855014502e-05,0.5986938000000378,0.20332248458774904,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:14:04.905193+00:00,4,6,-5.084820368709607e-05,0.6377794990000373,0.029281233254046114,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:14:35.096065+00:00,4,6,-5.084820368709607e-05,0.6377794990000373,0.029281233254046114,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:15:31.400533+00:00,4,6,-5.72079068801319e-05,0.6846432210000365,0.7416775344930817,1,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:16:18.520346+00:00,4,6,1.590927685107867e-05,0.6179523920000352,0.1380794212947851,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:16:49.329091+00:00,4,6,3.1808561036766535e-05,0.6103202640000355,0.05532205530003657,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:17:20.951014+00:00,4,6,3.9759838423475954e-05,0.5245866450000356,0.11134089645321125,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:17:54.484255+00:00,4,6,5.2479349601109763e-05,0.5128232300000364,0.11134089645321125,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:18:26.703580+00:00,4,6,1.589943879131048e-05,0.5511905510000377,3.671238192083113,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:18:58.439857+00:00,4,6,-2.8615234745569327e-05,0.5967825310000376,0.4251174344400897,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:19:49.598180+00:00,4,6,2.3868905471195777e-05,0.4979828400000378,0.21498457077234023,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:20:20.214229+00:00,4,6,9.55425946023403e-06,0.500030264000038,0.2579740288258116,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:21:06.530972+00:00,4,6,9.55425946023403e-06,0.500030264000038,0.2579740288258116,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:21:37.639069+00:00,4,6,-2.70506797040862e-05,0.5062869540000406,0.01827823554197052,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:22:07.892432+00:00,4,6,0.0,0.4916347400000367,0.3833945972340073,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:22:38.701249+00:00,4,6,-6.366182836771072e-05,0.48963474000003604,0.37832437410772196,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:23:09.883945+00:00,4,6,3.183496752833312e-05,0.6837878500000372,0.22340329088238897,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:23:40.726608+00:00,4,6,1.9107798518669158e-05,0.6801390880000364,0.22357562984496776,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:24:19.203233+00:00,4,6,2.2291954160196916e-05,0.6818313700000371,0.22159392956725588,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:24:51.920809+00:00,4,6,3.1881341203131952e-06,0.6883068500000398,1.3007399692895296,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:25:25.116591+00:00,4,6,0.0002547365069256488,0.6798725000000401,0.25127437568745525,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:27:30.794269+00:00,4,6,-1.1138664680367257e-05,1.16011524200004,0.037036088501659306,2,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:28:01.076199+00:00,4,6,2.8667463631801108e-05,1.15792039200004,0.037020868111452034,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:28:32.086117+00:00,4,6,2.8667463631801108e-05,1.15792039200004,0.037020868111452034,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:29:02.200136+00:00,4,6,2.8667463631801108e-05,1.15792039200004,0.037020868111452034,3,BEAR,BEAR,-3.0,CONFLICTED
2026-06-24T12:29:37.180890+00:00,4,6,0.0001002833198504594,1.1558489550000401,2.221699546076959,2,BEAR,BEAR,-3.0,CONFLICTED
