ts,bull_score,bear_score,velocity,delta,volume_ratio,weaken_signals,trend_state,base_state,structure_score,mtf_agreement
2026-06-23T09:25:11.775355+00:00,3,8,-1.2787542424102779e-05,-14.85817684999979,0.0037485293816386573,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:25:41.953811+00:00,3,8,-1.2787542424102779e-05,-14.85817684999979,0.0037485293816386573,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:26:12.725977+00:00,3,8,-3.0382654253580364e-05,-14.854689188999794,1.1584524665465807,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:26:43.054134+00:00,3,8,-4.799385678633135e-05,-14.877133679999794,1.1470929223407946,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:27:13.272341+00:00,3,8,1.9197593911254845e-05,-14.878352140999795,1.6277274785131446,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:28:32.310841+00:00,3,8,0.00017594369801663467,-14.860718529999794,0.04365875407953841,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:29:03.282369+00:00,3,8,2.3998206994959452e-05,-14.878667155999796,1.068807144124198,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:29:33.599881+00:00,3,8,4.479032487699821e-05,-14.886495907999791,1.1711797635149581,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:30:03.793804+00:00,3,8,-0.0004155545255486119,-10.163039289999787,0.12470734665679122,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:30:33.841004+00:00,3,8,-1.2769607218075083e-05,-10.326294225999789,0.13455141668244763,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:31:04.917493+00:00,3,8,-1.7596749163253818e-05,-10.177278837999784,0.0010832040588053206,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:31:35.358021+00:00,3,8,2.4001561534063452e-05,-10.172485041999783,0.526906436603259,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:32:13.491912+00:00,3,8,3.3603300889527605e-05,-10.16875245799979,0.17230910074176758,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:32:43.714499+00:00,3,8,2.40063207370991e-05,-10.177108215999791,0.17797155954777483,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:33:14.601848+00:00,3,8,2.40063207370991e-05,-10.177108215999791,0.17797155954777483,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:33:44.893794+00:00,3,8,-2.3994036776931728e-05,-10.22411107199979,0.000786500183663523,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:34:15.074157+00:00,3,8,-1.919659586873578e-05,-10.232587778999786,0.2612890951030418,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:34:46.303829+00:00,3,8,-1.599674946136333e-05,-10.237409349999785,0.27491760826424655,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:35:27.476196+00:00,3,8,1.2802302901006329e-05,-10.073396292999783,0.020887964347786402,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:35:58.443690+00:00,3,8,0.0,-9.795396524999799,0.25124350505327864,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:36:29.319483+00:00,3,8,0.0003359408744061045,-9.73211685999981,0.07256976941086395,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:37:00.291388+00:00,3,8,-3.99797347852853e-05,-9.802300601999809,0.24827489353029283,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:37:31.116511+00:00,3,8,-7.990635397983441e-06,-9.818475707999813,0.03337596603024033,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:38:02.083979+00:00,3,8,-4.318211269584005e-05,-9.828912047999813,0.8449944477790405,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:38:33.071433+00:00,3,8,-6.394267187210612e-06,-9.85890351999981,6.2785538325422445,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:39:03.147760+00:00,3,8,-6.394267187210612e-06,-9.85890351999981,6.2785538325422445,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:39:34.224185+00:00,3,8,0.0,-10.028973589999811,2.916821583771695,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:40:04.228426+00:00,3,8,-0.00040019209220425807,-11.846481449999818,1.032891347370971,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:40:34.652124+00:00,3,8,-3.2029210640103776e-05,-12.164072109999847,0.20537636448180466,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:41:04.654307+00:00,3,8,-3.202408210974653e-05,-12.199205359999848,0.2893760119100134,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:41:35.041096+00:00,3,8,0.00016022816490682731,-12.198372399999837,0.015314376910154113,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:42:05.064076+00:00,3,8,-0.0003204101249599487,-12.535255499999831,1.8767197819101138,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:42:35.442175+00:00,3,8,0.00016032835246585007,-12.625590679999807,0.019968133255500214,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:43:05.974087+00:00,3,8,3.526830527334617e-05,-12.624550362999804,0.1042606902604021,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:43:36.425509+00:00,3,8,3.0451415006926682e-05,-12.61255035599979,0.6196186123517253,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
