ts,trade_id,error_type,error_detail,http_status,latency_ms,edge_score,edge_threshold,effective_threshold,price,ctx_trade_id,exchange,data_symbol,bot_version,fee_profile,analyzer_sync_id
2026-06-23T00:51:22.092705+00:00,83d34077-d7eb-4875-b531-49c1d2c39b20,RuntimeError,"HTTP_ERROR:HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,3.8,3.0,3.0,64153.0,83d34077-d7eb-4875-b531-49c1d2c39b20,bitfinex,tBTCF0:USTF0,v9.83-quality-roster-4-tiles-2026-06-21,BITFINEX_ZERO,v9.83-quality-roster-4-tiles-2026-06-21
2026-06-23T02:53:02.916029+00:00,73c9143c-b1f4-4295-9e02-e428bbad9f22,RuntimeError,"HTTP_ERROR:HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,4.3,3.0,3.0,64230.0,73c9143c-b1f4-4295-9e02-e428bbad9f22,bitfinex,tBTCF0:USTF0,v9.83-quality-roster-4-tiles-2026-06-21,BITFINEX_ZERO,v9.83-quality-roster-4-tiles-2026-06-21
2026-06-23T03:05:12.827949+00:00,a9cebd2f-ba36-4544-8666-3e5215b2f8b2,RuntimeError,"HTTP_ERROR:HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,2.4,3.0,3.0,64059.0,a9cebd2f-ba36-4544-8666-3e5215b2f8b2,bitfinex,tBTCF0:USTF0,v9.83-quality-roster-4-tiles-2026-06-21,BITFINEX_ZERO,v9.83-quality-roster-4-tiles-2026-06-21
2026-06-23T03:17:02.394080+00:00,7159cb8e-fd0a-45fe-8d3d-510ebd81ff38,RuntimeError,"HTTP_ERROR:HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,4.8,3.0,3.0,64070.0,7159cb8e-fd0a-45fe-8d3d-510ebd81ff38,bitfinex,tBTCF0:USTF0,v9.83-quality-roster-4-tiles-2026-06-21,BITFINEX_ZERO,v9.83-quality-roster-4-tiles-2026-06-21
